Country or Area ID, Country or Area, Year, Series Description, Date of Last Election, Footnote for Last Election Date, Percentage of Seats Held by Women, Additional Footnotes, Data Source
364,Iran (Islamic Republic of),2020,"Seats held by women in national parliament, as of February (%)",2020-02,,5.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
364,Iran (Islamic Republic of),2021,"Seats held by women in national parliament, as of February (%)",2020-02,,5.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
364,Iran (Islamic Republic of),2022,"Seats held by women in national parliament, as of February (%)",2020-02,,5.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
368,Iraq,2000,"Seats held by women in national parliament, as of February (%)",2021-10,,6.4,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
368,Iraq,2010,"Seats held by women in national parliament, as of February (%)",2021-10,,25.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
368,Iraq,2015,"Seats held by women in national parliament, as of February (%)",2021-10,,26.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
368,Iraq,2018,"Seats held by women in national parliament, as of February (%)",2021-10,,25.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
368,Iraq,2019,"Seats held by women in national parliament, as of February (%)",2021-10,,25.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
368,Iraq,2020,"Seats held by women in national parliament, as of February (%)",2021-10,,26.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
368,Iraq,2021,"Seats held by women in national parliament, as of February (%)",2021-10,,26.4,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
368,Iraq,2022,"Seats held by women in national parliament, as of February (%)",2021-10,,28.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
372,Ireland,2000,"Seats held by women in national parliament, as of February (%)",2020-02,,12.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
372,Ireland,2005,"Seats held by women in national parliament, as of February (%)",2020-02,,13.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
372,Ireland,2010,"Seats held by women in national parliament, as of February (%)",2020-02,,13.9,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
372,Ireland,2015,"Seats held by women in national parliament, as of February (%)",2020-02,,16.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
372,Ireland,2018,"Seats held by women in national parliament, as of February (%)",2020-02,,22.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
372,Ireland,2019,"Seats held by women in national parliament, as of February (%)",2020-02,,22.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
372,Ireland,2020,"Seats held by women in national parliament, as of February (%)",2020-02,,20.9,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
372,Ireland,2021,"Seats held by women in national parliament, as of February (%)",2020-02,,22.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
372,Ireland,2022,"Seats held by women in national parliament, as of February (%)",2020-02,,23.1,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
376,Israel,2000,"Seats held by women in national parliament, as of February (%)",2021-03,,11.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
376,Israel,2005,"Seats held by women in national parliament, as of February (%)",2021-03,,15.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
376,Israel,2010,"Seats held by women in national parliament, as of February (%)",2021-03,,19.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
376,Israel,2015,"Seats held by women in national parliament, as of February (%)",2021-03,,22.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
376,Israel,2018,"Seats held by women in national parliament, as of February (%)",2021-03,,27.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
376,Israel,2019,"Seats held by women in national parliament, as of February (%)",2021-03,,29.2,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
376,Israel,2020,"Seats held by women in national parliament, as of February (%)",2021-03,,23.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
376,Israel,2021,"Seats held by women in national parliament, as of February (%)",2021-03,,26.7,"Data are as at 1 January of reporting year.;Parliament was dissolved in December 2020, and new elections had not taken place at time of reporting, thus data corresponds to the outgoing legislature.","Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
376,Israel,2022,"Seats held by women in national parliament, as of February (%)",2021-03,,30.0,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
380,Italy,2000,"Seats held by women in national parliament, as of February (%)",2018-03,,11.1,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
380,Italy,2005,"Seats held by women in national parliament, as of February (%)",2018-03,,11.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
380,Italy,2010,"Seats held by women in national parliament, as of February (%)",2018-03,,21.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
380,Italy,2015,"Seats held by women in national parliament, as of February (%)",2018-03,,31.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
380,Italy,2018,"Seats held by women in national parliament, as of February (%)",2018-03,,31.0,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
380,Italy,2019,"Seats held by women in national parliament, as of February (%)",2018-03,,35.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
380,Italy,2020,"Seats held by women in national parliament, as of February (%)",2018-03,,35.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
380,Italy,2021,"Seats held by women in national parliament, as of February (%)",2018-03,,35.7,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
380,Italy,2022,"Seats held by women in national parliament, as of February (%)",2018-03,,36.3,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
388,Jamaica,2000,"Seats held by women in national parliament, as of February (%)",2020-09,,13.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
388,Jamaica,2005,"Seats held by women in national parliament, as of February (%)",2020-09,,11.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
388,Jamaica,2010,"Seats held by women in national parliament, as of February (%)",2020-09,,13.3,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
388,Jamaica,2015,"Seats held by women in national parliament, as of February (%)",2020-09,,12.7,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
388,Jamaica,2018,"Seats held by women in national parliament, as of February (%)",2020-09,,17.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
388,Jamaica,2019,"Seats held by women in national parliament, as of February (%)",2020-09,,17.5,,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
388,Jamaica,2020,"Seats held by women in national parliament, as of February (%)",2020-09,,17.5,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
388,Jamaica,2021,"Seats held by women in national parliament, as of February (%)",2020-09,,28.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
388,Jamaica,2022,"Seats held by women in national parliament, as of February (%)",2020-09,,28.6,Data are as at 1 January of reporting year.,"Inter-Parliamentary Union (IPU), Geneva, the database on ""Women in National Parliament"", last accessed March 2022."
